url,text,createdAt,retweetCount,replyCount,likeCount,viewCount
https://x.com/Toyota/status/1907102193162842405,"@Fernand03469965 Dear Kitty, If you would like to discuss your concerns in detail, please contact our Customer Care Center toll-free at (800)874-8822. Resolution Specialists or Supervisors are available upon request. The hours of operation are Mon.-Fri., 8AM-5PM. Thank you ^ A.J.",Tue Apr 01 16:06:09 +0000 2025,0,1,3,137
https://x.com/Toyota/status/1905977571323318342,"@johnvanwinkle WOW! Thank you for sharing this with us. Safety is our number one priority. We are so glad that your son is okay. We can not imagine how scary this must have been for you, your son and your family, so thank you for taking the time to share. ❤️",Sat Mar 29 13:37:19 +0000 2025,0,1,3,99
https://x.com/Toyota/status/1905672003756925230,"@wu_chong74536 We appreciate you bringing your concerns to our attention. If you would like to further discuss your experience with us, feel free to send us a DM. https://t.co/GC5ljv92dZ",Fri Mar 28 17:23:06 +0000 2025,0,0,0,64
https://x.com/Toyota/status/1905258436377330013,"@CrownMeTiara88 We appreciate you bringing your concerns to our attention. If you would like to further discuss your experience with us, feel free to send us a DM. https://t.co/GC5ljv92dZ",Thu Mar 27 13:59:43 +0000 2025,0,0,1,74
https://x.com/Toyota/status/1904947084588966174,"@SonKing Hello, Scott. If you would like to further discuss your concerns, please send us a DM. 👍 https://t.co/GC5ljv92dZ",Wed Mar 26 17:22:31 +0000 2025,0,0,1,89
https://x.com/Toyota/status/1904641699780997256,"@darlingh0ney Hi, there!👋 We appreciate you bringing your concern to our attention. We recommend having your vehicle inspected at a Toyota dealership. We would be unable to provide a diagnosis over DMs. You can find your nearest dealer here: https://t.co/jfrtU7WZDf.",Tue Mar 25 21:09:02 +0000 2025,0,0,1,74
https://x.com/Toyota/status/1904621475283279918,"@drcraigwax Hi, there! 👋 Thanks for reaching out to us about this. You can find the instructions on how to turn off the display screen in your vehicle's owner manual: https://t.co/B18oB5t91v.",Tue Mar 25 19:48:40 +0000 2025,0,0,0,52
https://x.com/Toyota/status/1904550522725474467,"@TheNathanPierce Hello, Nathan. We recommend that you take your vehicle in for an inspection at your preferred Toyota dealer's service department, as they are our experts. You can find a dealer here: https://t.co/jfrtU7WZDf. 👍",Tue Mar 25 15:06:44 +0000 2025,0,1,0,56
https://x.com/Toyota/status/1904303762753130639,"@ohemgeebrobro Hello there. If you would like to further discuss your concerns, please send us a DM with your VIN and contact information. https://t.co/GC5ljv92dZ",Mon Mar 24 22:46:11 +0000 2025,0,0,0,60
https://x.com/Toyota/status/1904218955163828731,"@sadelgado Hello, Sarah. We are so sorry that this happened to you. If you would like to further discuss your concerns, please send us a DM with your VIN and contact information. 👍 https://t.co/GC5ljv9A3x",Mon Mar 24 17:09:12 +0000 2025,0,0,2,45
https://x.com/Toyota/status/1904210443905778138,"@BlackbeardHTX We apologize that we have not seen a DM come in from you.  If you would like to further discuss your experience with us, feel free to send us a DM. https://t.co/GC5ljv92dZ",Mon Mar 24 16:35:23 +0000 2025,0,0,0,41
https://x.com/Toyota/status/1903118517743780234,"@jbarnz71 We appreciate you bringing your concerns to our attention. If you would like to further discuss your experience with us, feel free to send us a DM with your VIN and contact information. https://t.co/GC5ljv92dZ",Fri Mar 21 16:16:27 +0000 2025,0,0,1,87
https://x.com/Toyota/status/1902802978462896606,"@RIchihara62856 Hi there. If you would like to further discuss your concerns, please send us a DM with your VIN and contact information. https://t.co/GC5ljv92dZ",Thu Mar 20 19:22:37 +0000 2025,0,1,0,90
https://x.com/Toyota/status/1902361066769682576,"@OneHeadedGoat Dear Adam,
We apologize for any inconvenience this matter may have caused for you. To discuss your concerns in detail, please contact our Customer Care Center toll-free at (800)874-8822. 
The hours of operation are Mon.- Fri., 8AM-5PM. Thank you ^E.M. https://t.co/GC5ljv92dZ",Wed Mar 19 14:06:37 +0000 2025,0,0,0,71
https://x.com/Toyota/status/1902061497695572174,"@BlackbeardHTX We appreciate you bringing your concerns to our attention. If you would like to further discuss your experience with us, feel free to send us a DM. https://t.co/GC5ljv92dZ",Tue Mar 18 18:16:14 +0000 2025,0,1,1,68
https://x.com/Toyota/status/1902029512638108065,"@OneHeadedGoat Dear Adam, If you would like to discuss your title concerns in detail, please contact our Customer Care Center toll-free at (800)874-8822. Resolution Specialists or Supervisors are available upon request. The hours of operation are Mon.-Fri., 8AM-5PM. Thank you ^ A.J.",Tue Mar 18 16:09:08 +0000 2025,0,2,0,31
https://x.com/Toyota/status/1901687924007354398,"@RussellFenton7 Hello there. If you would like for us to further look into your concern, please send us your VIN and contact information. https://t.co/GC5ljv9A3x",Mon Mar 17 17:31:47 +0000 2025,0,0,0,50
https://x.com/Toyota/status/1900628133784515018,"@eilergm1 Hello there. If you would like to further discuss your concerns, please send us a DM with your VIN and contact information. https://t.co/GC5ljv92dZ",Fri Mar 14 19:20:33 +0000 2025,0,0,0,81
https://x.com/Toyota/status/1900626851086606479,"@DicethePittie Hello, Elizabeth. If you would like to further discuss these concerns, please send us a DM with your VIN and contact information. https://t.co/GC5ljv92dZ",Fri Mar 14 19:15:27 +0000 2025,0,0,1,73
https://x.com/Toyota/status/1900578328660070715,"@ItsMikeSimon We appreciate you bringing your concerns to our attention. If you would like to further discuss your experience with us, feel free to send us a DM. https://t.co/GC5ljv92dZ",Fri Mar 14 16:02:39 +0000 2025,0,0,0,65
https://x.com/Toyota/status/1900292714928676985,"@CabigaoTim We appreciate you bringing your concerns to our attention. If you would like to further discuss your experience with us, feel free to send us a DM. https://t.co/GC5ljv92dZ",Thu Mar 13 21:07:43 +0000 2025,0,0,0,57
https://x.com/Toyota/status/1900259034969620697,"@JSundook Hello, Jared. If you would like to further discuss your concerns, please send us a DM with your VIN and contact information. https://t.co/GC5ljv92dZ",Thu Mar 13 18:53:53 +0000 2025,0,0,0,43
https://x.com/Toyota/status/1900230416696500481,"@Laminoss6 Hello, there. Thank you so much for bringing this to our attention. If you wish to discuss this further, please feel free to send us a DM with your VIN and contact info. https://t.co/GC5ljv92dZ",Thu Mar 13 17:00:10 +0000 2025,0,0,0,43
https://x.com/Toyota/status/1899866027166519737,"@FCD_Frank Hello there. WOW! We are so sorry that you were involved in such a scary accident but are thrilled to know that you are okay! We appreciate you taking the time to share this with us and if you would like to further discuss, please feel free to send us a DM! ❤️ https://t.co/GC5ljv92dZ",Wed Mar 12 16:52:13 +0000 2025,0,0,0,38
https://x.com/Toyota/status/1899847778743816492,@BlackbeardHTX Thank you for your suggestion. We appreciate the feedback as it helps us when planning future products and services. 👍,Wed Mar 12 15:39:42 +0000 2025,0,1,1,42
https://x.com/Toyota/status/1899505368151081382,"@RobertP16751869 We appreciate you bringing your concerns to our attention. If you would like to further discuss your experience with us, feel free to send us a DM. https://t.co/GC5ljv92dZ",Tue Mar 11 16:59:05 +0000 2025,0,1,0,61
