inputUrl,caption,hashtags,commentsCount,url,videoViewCount,likesCount,timestamp,latestCommentsText
https://www.instagram.com/volkswagen/,"For the adventurers out there. The #Amarok takes you beyond limits, built for every journey - no matter the road or destination. 🌿🏞️ 

#Volkswagen #VW

___
Amarok Aventura - Fuel consumption combined: 10.4 – 10.2 l/100 km; CO₂ emissions combined: 272 - 266 g/km. Consumption, CO₂ emissions, and CO₂ class figures may vary depending on the selected vehicle equipment.","Amarok, Volkswagen, VW",63,https://www.instagram.com/p/DIDkV2shAtk/,28329,6399,2025-04-05T07:01:32.000Z,When will you be available in the USA? 🤔 || 😍😍😍😍 || 💙💙💙 || 👏❤️ || Recomendo retis polo ou golf ok 👍 gente ❤️ 👏👏🔥🔥esses sim são carros pr cidade ok 👍 gente ❤️ 👏👏👏fuii || Bom pr fazenda ok gente não 👎 pr cidade ok gente. Pr  de querer  aparecer. Só botão dá festa 🥳 ok ☝️ 🔥🔥🔥🙌🙌😮😮 || 🔥🔥🔥🔥🔥❤️ || That's the real Volkswagen Amarok not the rebaged Ranger. Bring it to the USA || 😍😍😍
https://www.instagram.com/volkswagen/,"Don’t let the weather surprise you! 🌧️🌞 Gear up with your Volkswagen and ensure you're ready for anything Mother Nature throws your way. 

Our service experts are here to help with seasonal checks and any repairs, keeping your ride safe and dependable. 

#Volkswagen #VolkswagenService #VWService

___
Golf GTE- Weighted energy consumption combined: 16.2 - 15.9 kWh/100 km plus 0.4 l/100 km | Fuel consumption with depleted battery combined: 5.4 - 5.3 l/100 km | Weighted CO₂ emissions combined: 8 g/km | Weighted CO₂ class combined: B | CO₂ class with depleted battery: D.","Volkswagen, VolkswagenService, VWService",33,https://www.instagram.com/p/DIQYzLAs2Sw/,29419,4591,2025-04-10T06:30:49.000Z,"Bella para ir a la playita 🌺🇵🇷🏝️❤️😌🌼🌊🌊🌊 || I’ve had such a negative experience with my 2023 ID.4.  It’s been in the shop for about 6 months, trying all sorts of repairs lead by a VW QTM and VW is refusing to label it unrepairable and buy it back.  I’m getting screwed over.  Avoid buying VW, their customer care is beyond disappointing! || 🔥 || 😍😍😍😍😍😍 || 🏹 in L💙VE !! It is beautiful to create and have fun at tbe same time😊 #hairandmakeup @lauraannolland @silvanaschwan #alwayshandson @dieser.tobias || ❤️ || Will auch so ein Schlüsselanhänger 🙉😍 || 🚙🌍🚦 || Had a blast being part of this project – big love to everyone involved! 🚗🔥"
https://www.instagram.com/volkswagen/,"Your spring adventure start in the Volkswagen T-Cross. 💐☀️ The #TCross in 'Grape Yellow' and 'Manila' wheels.

#Volkswagen #VW","TCross, Volkswagen, VW",24,https://www.instagram.com/p/DIIqe6tiy3L/,25849,3978,2025-04-07T06:31:11.000Z,I wanna see Makena Turquoise in the future again😭😭😭😭 || 😍 || 🌺💜 || 😍❤️ || 😍😍😍😍😍😍😍😍😍😍😍😍 || 😍 || 🙌W🙌 || I am so married to the brand 😢😢😢😢. It's time for that planned long distance drive😍😍😍 || ❤️
https://www.instagram.com/volkswagen/,"It starts with a spin and ends with a statement. This is the #IDEVERY1. Electric mobility for everyone, designed from the heart.

#Volkswagen #VW

___
* Concept car.","IDEVERY1., Volkswagen, VW",12,https://www.instagram.com/p/DIYKpIcJ70n/,16530,2172,2025-04-13T07:00:59.000Z,😍😍👏 || Thiiis is AMAZIIIINGGGG 😮‍💨😍 || Sylt auf der Straße zum Ellenbogen oder? 😎 || ❤️🔥❤️ || Das auto 💪🇧🇦🇩🇪 || 👍 || 😍😍 || In south Africa we will stance it 😂 || Yes everyone loves VW ❤️❤️❤️❤️❤️ || Let me get one
https://www.instagram.com/volkswagen/,"No more cables. Charge your phone wirelessly in the #Taigo. 👀🔋

#Volkswagen #VW #TaigoRLine","Taigo., Volkswagen, VW, TaigoRLine",40,https://www.instagram.com/p/DILPMFTNeYb/,32088,5767,2025-04-08T06:30:00.000Z,❤️❤️❤️❤️ || Hurra ich bekomme einen Taigo…freu mich schon || 😍❤️ || 😍😍😍 || Unless you use a phone case || Buenisimo😍👏🙌 nada de cables ni enredos al fin😌 || I first read it as tiago😂 || 👏👏👏😍😍😍 || @tinaleingross2705 👏👏
https://www.instagram.com/volkswagen/,"Step inside the #Tayron and experience sophistication redefined. With a sleek design, premium finishes, and cutting-edge tech, every drive feels like a first-class experience.

#Volkswagen #VW

___
Tayron R-Line - 2.0 l TDI SCR 110 kW (150 PS) 7-speed dual-clutch gearbox DSG | Diesel | Energy consumption combined: 5.6 l/100 km and CO₂ emissions combined: 146 g/km | CO₂ class: E | May include optional removable equipment.","Tayron, Volkswagen, VW",33,https://www.instagram.com/p/DIN0BG9tPyK/,18887,5481,2025-04-09T06:30:00.000Z,💙💙💙 || Wooow😍 || 🔥 || Schön das das Lenkrad wieder richtige Tasten hat. || When will this work of art go on sale in the US? || This car has my heart!! I'll work very hard and earn money to buy this car aa my 1st 🙌❤️❤️❤️
https://www.instagram.com/volkswagen/,"The #IDEVERY1 comes alive as the sun sets into the darkness! 🌅🔥

#Volkswagen #VW

___
* Concept car.","IDEVERY1, Volkswagen, VW",49,https://www.instagram.com/p/DIT3eCPNkU5/,30438,6673,2025-04-11T14:56:30.000Z,"😍😍😍😍 || Perfekt! 😍😍 || I've had such a negative experience with my
2023 ID.4. It's been in the shop for about 6 months, trying all sorts of, repairs lead by a VW QTM and VW is refusing to label it unrepairable and buy it back. I'm getting screwed over. Avoid buying VW, their customer care is beyond disappointing! || 🔥 || 👏👏 || 🔥🔥🔥🔥 || Trash || La vita in un domani luminoso || 🔥"
https://www.instagram.com/volkswagen/,"In case you didn't know that your ID.7 Tourer can do this, now you know. 🤔💭 @id7_tourer 

#Volkswagen #VW #Smarttech #ID7 

___
ID.7 Tourer Pro – Combined power consumption 16.5-14.4 kWh/100 km; combined CO2 emissions 0 g/km; CO2 class: A.","Volkswagen, VW, Smarttech, ID7",82,https://www.instagram.com/p/DIGJDrtPA0z/,187890,8847,2025-04-06T07:00:44.000Z,"reply if you want me to buy VW when im 18 || Welcome to a Land Rover showroom in 2016ish || You had the perfect design with the flip badge in Golf MK7. Camera hidden = camera clean. || Please create a separate button to only wash camera not rear screen.  Some people dont like wiping sand over their rear screen. || Have it on my Atlas || I wish my ID7 had that. || Die Kamera gehört wieder in das VW Emblem, wo sie bei Bedarf herausgeklappt wird. Immer sauber,  immer bereit. || Or just use this"
https://www.instagram.com/volkswagen/,"Made for the love of the drive. Open up to a world of possibilities with the Panoramic Sunroof Smart Glass as you glide through breathtaking vistas. @vw 
​
#Volkswagen #VW #ID4 #SmartGlass","Volkswagen, VW, ID4, SmartGlass",22,https://www.instagram.com/p/DIVlyS6NwOq/,13733,2647,2025-04-12T07:00:00.000Z,"👏🏼 || Das auto || ❤️❤️❤️❤️ || More than enough, black swan || Need ecar vw in Ukraine || ❤ || Which Color is this? || This car made me love road trips again. || الله يبارك الله يرزقنا من فضلو يااارب || 😍😍"
https://www.instagram.com/volkswagen/,"Transform your movie nights into unforgettable experiences with the #Tayron! 🎬✨

Discover the perfect spot for a scenic view and cozy comfort. Where will your adventure take you next? 🌄♥️

#Volkswagen #VW

___
Tayron R-Line 2.0 l TDI SCR 110 kW (150 PS) 7-speed dual-clutch gearbox DSG | Diesel | Combined energy consumption: 5.6 l/100 km and combined CO₂ emissions: 146 g/km | CO₂ class: E | May include optional deselectable equipment.","Tayron!, Volkswagen, VW",24,https://www.instagram.com/p/DH0HgOYtC90/,31090,3374,2025-03-30T07:00:00.000Z,"someday 🩷 || 👏👏 || I think do this transporter || hello Volkswagen my goal is to get comments from famous car brands, can you support me? Even if you just beat a heart, it will be enough. Some brands from the group also responded, I would be very happy if you give it to me. ❤️❤️😍😍😢 || 😍 || 😍😍😍😍😍❤️ || Volkswagen in my heart ❤️ || @rafail.007 We feel that! 🫶"
